# Renewables.ninja Wind (Point API) - 55.691, 12.560 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "55.69110072960672", "lon": "12.559526944719893", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "150000", "height": "100", "turbine": "Vestas V90 2000", "raw": false}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,145377.282
2019-01-01 01:00,2019-01-01 02:00,146975.039
2019-01-01 02:00,2019-01-01 03:00,148094.951
2019-01-01 03:00,2019-01-01 04:00,148659.034
2019-01-01 04:00,2019-01-01 05:00,148696.516
2019-01-01 05:00,2019-01-01 06:00,148616.442
2019-01-01 06:00,2019-01-01 07:00,148293.572
2019-01-01 07:00,2019-01-01 08:00,147544.890
2019-01-01 08:00,2019-01-01 09:00,145755.904
2019-01-01 09:00,2019-01-01 10:00,142780.382
2019-01-01 10:00,2019-01-01 11:00,137350.948
2019-01-01 11:00,2019-01-01 12:00,131416.236
2019-01-01 12:00,2019-01-01 13:00,131878.612
2019-01-01 13:00,2019-01-01 14:00,137192.024
2019-01-01 14:00,2019-01-01 15:00,143025.305
2019-01-01 15:00,2019-01-01 16:00,146713.244
2019-01-01 16:00,2019-01-01 17:00,148337.978
2019-01-01 17:00,2019-01-01 18:00,148701.401
2019-01-01 18:00,2019-01-01 19:00,148654.315
2019-01-01 19:00,2019-01-01 20:00,148655.120
2019-01-01 20:00,2019-01-01 21:00,148158.993
2019-01-01 21:00,2019-01-01 22:00,147646.480
2019-01-01 22:00,2019-01-01 23:00,147235.262
2019-01-01 23:00,2019-01-02 00:00,146770.309
2019-01-02 00:00,2019-01-02 01:00,147263.038
2019-01-02 01:00,2019-01-02 02:00,148243.931
2019-01-02 02:00,2019-01-02 03:00,148649.945
2019-01-02 03:00,2019-01-02 04:00,148697.709
2019-01-02 04:00,2019-01-02 05:00,148699.608
2019-01-02 05:00,2019-01-02 06:00,148616.174
2019-01-02 06:00,2019-01-02 07:00,148394.536
2019-01-02 07:00,2019-01-02 08:00,148028.947
2019-01-02 08:00,2019-01-02 09:00,147589.995
2019-01-02 09:00,2019-01-02 10:00,147413.265
2019-01-02 10:00,2019-01-02 11:00,147438.335
2019-01-02 11:00,2019-01-02 12:00,146975.225
2019-01-02 12:00,2019-01-02 13:00,146514.535
