# Renewables.ninja Wind (Point API) - 55.691, 12.560 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Copenhagen"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""55.69110072960672"""," ""lon"": ""12.559526944719893"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""150"""," ""height"": ""100"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,
01/03/2019 00:00,01/03/2019 01:00,6.865,,,,,,,,,,,
01/03/2019 01:00,01/03/2019 02:00,4.242,,,,,,,,,,,
01/03/2019 02:00,01/03/2019 03:00,3.269,,,,,,,,,,,
01/03/2019 03:00,01/03/2019 04:00,3.002,,,,,,,,,,,
01/03/2019 04:00,01/03/2019 05:00,2.338,,,,,,,,,,,
01/03/2019 05:00,01/03/2019 06:00,2.064,,,,,,,,,,,
01/03/2019 06:00,01/03/2019 07:00,2.13,,,,,,,,,,,
01/03/2019 07:00,01/03/2019 08:00,1.793,,,,,,,,,,,
01/03/2019 08:00,01/03/2019 09:00,1.697,,,,,,,,,,,
01/03/2019 09:00,01/03/2019 10:00,4.796,,,,,,,,,,,
01/03/2019 10:00,01/03/2019 11:00,9.514,,,,,,,,,,,
01/03/2019 11:00,01/03/2019 12:00,14.276,,,,,,,,,,,
01/03/2019 12:00,01/03/2019 13:00,16.606,,,,,,,,,,,
01/03/2019 13:00,01/03/2019 14:00,17.184,,,,,,,,,,,
01/03/2019 14:00,01/03/2019 15:00,17.96,,,,,,,,,,,
01/03/2019 15:00,01/03/2019 16:00,22.834,,,,,,,,,,,
01/03/2019 16:00,01/03/2019 17:00,30.302,,,,,,,,,,,
01/03/2019 17:00,01/03/2019 18:00,36.11,,,,,,,,,,,
01/03/2019 18:00,01/03/2019 19:00,41.162,,,,,,,,,,,
01/03/2019 19:00,01/03/2019 20:00,45.739,,,,,,,,,,,
01/03/2019 20:00,01/03/2019 21:00,46.686,,,,,,,,,,,
01/03/2019 21:00,01/03/2019 22:00,44.999,,,,,,,,,,,
01/03/2019 22:00,01/03/2019 23:00,44.997,,,,,,,,,,,
01/03/2019 23:00,02/03/2019 00:00,49.161,,,,,,,,,,,
02/03/2019 00:00,02/03/2019 01:00,51.736,,,,,,,,,,,
02/03/2019 01:00,02/03/2019 02:00,51.833,,,,,,,,,,,
02/03/2019 02:00,02/03/2019 03:00,50.755,,,,,,,,,,,
02/03/2019 03:00,02/03/2019 04:00,49.736,,,,,,,,,,,
02/03/2019 04:00,02/03/2019 05:00,49.35,,,,,,,,,,,
02/03/2019 05:00,02/03/2019 06:00,49.322,,,,,,,,,,,
02/03/2019 06:00,02/03/2019 07:00,49.971,,,,,,,,,,,
02/03/2019 07:00,02/03/2019 08:00,52.067,,,,,,,,,,,
02/03/2019 08:00,02/03/2019 09:00,56.938,,,,,,,,,,,
02/03/2019 09:00,02/03/2019 10:00,57.422,,,,,,,,,,,
02/03/2019 10:00,02/03/2019 11:00,54.159,,,,,,,,,,,
02/03/2019 11:00,02/03/2019 12:00,52.392,,,,,,,,,,,
02/03/2019 12:00,02/03/2019 13:00,54.642,,,,,,,,,,,
02/03/2019 13:00,02/03/2019 14:00,58.25,,,,,,,,,,,
02/03/2019 14:00,02/03/2019 15:00,58.596,,,,,,,,,,,
02/03/2019 15:00,02/03/2019 16:00,57.844,,,,,,,,,,,
02/03/2019 16:00,02/03/2019 17:00,76.892,,,,,,,,,,,
02/03/2019 17:00,02/03/2019 18:00,89.796,,,,,,,,,,,
02/03/2019 18:00,02/03/2019 19:00,94.026,,,,,,,,,,,
02/03/2019 19:00,02/03/2019 20:00,96.11,,,,,,,,,,,
02/03/2019 20:00,02/03/2019 21:00,103.151,,,,,,,,,,,
