Column1,Column2,Column3
beta,CVar,obj_function
0.0001,127338.831,678406.6054
0.0002,127338.831,678419.3393
0.0003,127338.831,678432.0732
0.0004,127338.831,678444.8071
0.0005,127338.831,678457.541
0.0006,127338.831,678470.2748
0.0007,127338.831,678483.0087
0.0008,127338.831,678495.7426
0.0009,127338.831,678508.4765
0.001,127338.831,678521.2104
0.002,127338.831,678648.5492
0.003,127338.831,678775.888
0.004,127338.831,678903.2269
0.005,127338.831,679030.5657
0.006,127338.831,679157.9045
0.007,127338.831,679285.2434
0.008,127338.831,679412.5822
0.009,127338.831,679539.921
0.01,127338.831,679667.2598
0.02,127338.831,680940.6482
0.03,127338.831,682214.0365
0.04,127338.831,683487.4248
0.05,127338.831,684760.8131
0.06,127338.831,686034.2014
0.07,127338.831,687307.5897
0.08,127338.831,688580.978
0.09,127338.831,689854.3663
0.1,127338.831,691127.7546
0.2,127338.831,703861.6377
0.3,127338.831,716595.5208
0.4,127338.831,729329.404
0.5,129303.4485,742148.6228
0.6,129303.4485,755078.9677
0.7,131113.476,768134.3338
0.8,133679.0235,781405.5964
0.9,133679.0235,794773.4987
