Column1,Column2,Column3
beta,CVar,obj_function
0,74728.18919,678393.8715
0.0001,96269.36987,678403.4985
0.0002,96269.36987,678413.1254
0.0003,96269.36987,678422.7523
0.0004,96269.36987,678432.3793
0.0005,96269.36987,678442.0062
0.0006,96269.36987,678451.6332
0.0007,96269.36987,678461.2601
0.0008,96269.36987,678470.887
0.0009,96269.36987,678480.514
0.001,96269.36987,678490.1409
0.002,96269.36987,678586.4103
0.003,96269.36987,678682.6796
0.004,96269.36987,678778.949
0.005,96269.36987,678875.2184
0.006,96269.36987,678971.4878
0.007,96269.36987,679067.7571
0.008,96269.36987,679164.0265
0.009,96269.36987,679260.2959
0,74728.18919,678393.8715
0.01,96269.36987,679356.5652
0.02,96269.36987,680319.2589
0.03,96269.36987,681281.9526
0.04,96269.36987,682244.6463
0.05,96269.36987,683207.34
0.06,96269.36987,684170.0337
0.07,96269.36987,685132.7274
0.08,96269.36987,686095.4211
0.09,96269.36987,687058.1148
0.1,96269.36987,688020.8085
0.2,96269.36987,697647.7455
0.3,99482.63987,707341.6905
0.4,104387.9549,717430.179
0.5,106877.8649,727901.31
0.6,112002.3299,739009.8292
0.7,112002.3299,750210.0622
0.8,112002.3299,761410.2952
0.9,112002.3299,772610.5282
