Column1,Column2,Column3,Column4
alpha,beta,CVar,obj_function
0.8,0,74728.18919,678393.8715
0.8,0.0001,178462.2588,678411.7178
0.8,0.0002,178462.2588,678429.564
0.8,0.0003,178462.2588,678447.4102
0.8,0.0004,178462.2588,678465.2564
0.8,0.0005,178462.2588,678483.1027
0.8,0.0006,178462.2588,678500.9489
0.8,0.0007,178462.2588,678518.7951
0.8,0.0008,178462.2588,678536.6413
0.8,0.0009,178462.2588,678554.4876
0.8,0,74728.18919,678393.8715
0.8,0.001,178462.2588,678572.3338
0.8,0.002,178462.2588,678750.7961
0.8,0.003,178462.2588,678929.2583
0.8,0.004,178462.2588,679107.7206
0.8,0.005,178462.2588,679286.1828
0.8,0.006,178462.2588,679464.6451
0.8,0.007,178462.2588,679643.1073
0.8,0.008,178462.2588,679821.5696
0.8,0.009,178462.2588,680000.0319
0.8,0,74728.18919,678393.8715
0.8,0.01,178462.2588,680178.4941
0.8,0.02,178462.2588,681963.1167
0.8,0.03,178462.2588,683747.7393
0.8,0.04,178462.2588,685532.3619
0.8,0.05,178462.2588,687316.9845
0.8,0.06,178462.2588,689101.6071
0.8,0.07,178462.2588,690886.2297
0.8,0.08,178462.2588,692670.8522
0.8,0.09,178462.2588,694455.4748
0.8,0,74728.18919,678393.8715
0.8,0.1,178462.2588,696240.0974
0.8,0.2,178462.2588,714086.3233
0.8,0.3,178462.2588,731932.5492
0.8,0.4,178462.2588,749778.7751
0.8,0.5,178462.2588,767625.0009
0.8,0.6,178462.2588,785471.2268
0.8,0.7,178462.2588,803317.4527
0.8,0.8,178462.2588,821163.6786
0.8,0.9,178462.2588,839009.9045
0.9,0,74728.18919,678393.8715
0.9,0.0001,127338.831,678406.6054
0.9,0.0002,127338.831,678419.3393
0.9,0.0003,127338.831,678432.0732
0.9,0.0004,127338.831,678444.8071
0.9,0.0005,127338.831,678457.541
0.9,0.0006,127338.831,678470.2748
0.9,0.0007,127338.831,678483.0087
0.9,0.0008,127338.831,678495.7426
0.9,0.0009,127338.831,678508.4765
0.9,0,74728.18919,678393.8715
0.9,0.001,127338.831,678521.2104
0.9,0.002,127338.831,678648.5492
0.9,0.003,127338.831,678775.888
0.9,0.004,127338.831,678903.2269
0.9,0.005,127338.831,679030.5657
0.9,0.006,127338.831,679157.9045
0.9,0.007,127338.831,679285.2434
0.9,0.008,127338.831,679412.5822
0.9,0.009,127338.831,679539.921
0.9,0,74728.18919,678393.8715
0.9,0.01,127338.831,679667.2598
0.9,0.02,127338.831,680940.6482
0.9,0.03,127338.831,682214.0365
0.9,0.04,127338.831,683487.4248
0.9,0.05,127338.831,684760.8131
0.9,0.06,127338.831,686034.2014
0.9,0.07,127338.831,687307.5897
0.9,0.08,127338.831,688580.978
0.9,0.09,127338.831,689854.3663
0.9,0,74728.18919,678393.8715
0.9,0.1,127338.831,691127.7546
0.9,0.2,127338.831,703861.6377
0.9,0.3,127338.831,716595.5208
0.9,0.4,127338.831,729329.404
0.9,0.5,129303.4485,742148.6228
0.9,0.6,129303.4485,755078.9677
0.9,0.7,131113.476,768134.3338
0.9,0.8,133679.0235,781405.5964
0.9,0.9,133679.0235,794773.4987
0.95,0,74728.18919,678393.8715
0.95,0.0001,96269.36987,678403.4985
0.95,0.0002,96269.36987,678413.1254
0.95,0.0003,96269.36987,678422.7523
0.95,0.0004,96269.36987,678432.3793
0.95,0.0005,96269.36987,678442.0062
0.95,0.0006,96269.36987,678451.6332
0.95,0.0007,96269.36987,678461.2601
0.95,0.0008,96269.36987,678470.887
0.95,0.0009,96269.36987,678480.514
0.95,0,74728.18919,678393.8715
0.95,0.001,96269.36987,678490.1409
0.95,0.002,96269.36987,678586.4103
0.95,0.003,96269.36987,678682.6796
0.95,0.004,96269.36987,678778.949
0.95,0.005,96269.36987,678875.2184
0.95,0.006,96269.36987,678971.4878
0.95,0.007,96269.36987,679067.7571
0.95,0.008,96269.36987,679164.0265
0.95,0.009,96269.36987,679260.2959
0.95,0,74728.18919,678393.8715
0.95,0.01,96269.36987,679356.5652
0.95,0.02,96269.36987,680319.2589
0.95,0.03,96269.36987,681281.9526
0.95,0.04,96269.36987,682244.6463
0.95,0.05,96269.36987,683207.34
0.95,0.06,96269.36987,684170.0337
0.95,0.07,96269.36987,685132.7274
0.95,0.08,96269.36987,686095.4211
0.95,0.09,96269.36987,687058.1148
0.95,0,74728.18919,678393.8715
0.95,0.1,96269.36987,688020.8085
0.95,0.2,96269.36987,697647.7455
0.95,0.3,99482.63987,707341.6905
0.95,0.4,104387.9549,717430.179
0.95,0.5,106877.8649,727901.31
0.95,0.6,112002.3299,739009.8292
0.95,0.7,112002.3299,750210.0622
0.95,0.8,112002.3299,761410.2952
0.95,0.9,112002.3299,772610.5282
