Column1,Column2,Column3
alpha,CVar,obj_function
0,678393.8715,679072.2654
0.0001,678304.1225,679072.1757
0.0002,678214.3556,679072.0859
0.0003,678124.5706,679071.9961
0.0004,678034.7678,679071.9063
0.0005,677944.9469,679071.8165
0.0006,677855.1081,679071.7266
0.0007,677765.2513,679071.6368
0.0008,677675.3765,679071.5469
0.0009,677585.4837,679071.457
0,678393.8715,679072.2654
0.001,677495.5729,679071.3671
0.002,676595.4741,679070.467
0.003,675693.5696,679069.5651
0.004,674789.8541,679068.6614
0.005,673884.3221,679067.7559
0.006,672976.9681,679066.8485
0.007,672067.7866,679065.9393
0.008,671156.7721,679065.0283
0.009,670243.919,679064.1155
0,678393.8715,679072.2654
0.01,669329.2217,679063.2008
0.02,661113.4515,679054.985
0.03,653689.0198,679047.5606
0.04,646190.241,679040.0618
0.05,638696.4275,679032.568
0.06,631373.5922,679025.2451
0.07,623949.1316,679017.8207
0.08,616527.7839,679010.3993
0.09,609416.5781,679003.2881
0,678393.8715,679072.2654
0.1,602236.3687,678996.1079
0.2,530391.3284,678924.2629
0.3,467708.854,678861.5804
0.4,411023.5057,678804.895
0.5,350007.7475,678743.8793
0.6,284632.227,678678.5038
0.7,222942.7911,678616.8143
0.8,178462.2588,678572.3338
0.9,127338.831,678521.2104
