Column1,Column2,Column3
beta,CVar,obj_function
0,56416.46154,619395.9943
0.0001,104727.9117,619406.4671
0.0002,104727.9117,619416.9399
0.0003,104727.9117,619427.4127
0.0004,104727.9117,619437.8855
0.0005,104727.9117,619448.3583
0.0006,104727.9117,619458.8311
0.0007,104727.9117,619469.3039
0.0008,104727.9117,619479.7767
0.0009,104727.9117,619490.2494
0,56416.46154,619395.9943
0.001,104727.9117,619500.7222
0.002,104727.9117,619605.4501
0.003,106232.1487,619710.7991
0.004,106232.1487,619817.0313
0.005,106232.1487,619923.2634
0.006,106232.1487,620029.4956
0.007,106232.1487,620135.7277
0.008,106232.1487,620241.9598
0.009,106232.1487,620348.192
0,56416.46154,619395.9943
0.01,106232.1487,620454.4241
0.02,106232.1487,621516.7456
0.03,106232.1487,622579.0671
0.04,106232.1487,623641.3886
0.05,106272.053,624704.0851
0.06,106272.053,625766.8056
0.07,106272.053,626829.5261
0.08,106852.783,627896.0358
0.09,106852.783,628964.5636
0,56416.46154,619395.9943
0.1,106852.783,630033.0914
0.2,108502.9529,640777.4457
0.3,110107.3431,651725.58
0.4,111104.1933,662824.3513
0.5,112586.6152,674014.0611
0.6,113694.9512,685322.8
0.7,114910.5605,696731.0028
0.8,115909.6929,708256.3104
0.9,116078.6745,719848.8321
