Column1,Column2,Column3
alpha,CVar,obj_function
0,619395.9943,620015.3903
0.0001,619311.1632,620015.3055
0.0002,619226.3151,620015.2206
0.0003,619141.4501,620015.1358
0.0004,619056.568,620015.0509
0.0005,618971.669,620014.966
0.0006,618886.753,620014.8811
0.0007,618801.82,620014.7961
0.0008,618716.8699,620014.7112
0.0009,618631.9029,620014.6262
0,619395.9943,620015.3903
0.001,618546.9189,620014.5412
0.002,617696.1419,620013.6905
0.003,616843.6583,620012.838
0.004,615989.4628,620011.9838
0.005,615133.5504,620011.1279
0.006,614275.9158,620010.2702
0.007,613416.5538,620009.4109
0.008,612555.4592,620008.5498
0.009,611692.6269,620007.687
0,619395.9943,620015.3903
0.01,610828.0514,620006.8224
0.02,603247.6603,619999.242
0.03,596214.4004,619992.2087
0.04,589177.6133,619985.1719
0.05,582357.401,619978.3517
0.06,575517.0724,619971.5114
0.07,568785.9006,619964.7802
0.08,561962.9173,619957.9572
0.09,555581.7508,619951.5761
0,619395.9943,620015.3903
0.1,549177.5063,619945.1718
0.2,484202.1977,619880.1965
0.3,427498.3456,619823.4927
0.4,374025.805,619770.0201
0.5,316310.1917,619712.3045
0.6,254395.6279,619650.39
0.7,194152.1569,619590.1465
0.8,145864.3334,619541.8587
0.9,104727.9117,619500.7222
