Column1,Column2,Column3,Column4
alpha,beta,CVar,obj_function
0.85,0.0,56416.461542,619395.9943246705
0.85,0.1,127212.85850279998,632080.0129420098
0.85,0.2,129261.7892712333,644944.7083029238
0.85,0.30000000000000004,131542.18581443332,657972.5128605943
0.85,0.4,132081.03570476666,671134.5787535197
0.85,0.5,133256.18247943328,684412.190489359
0.85,0.6000000000000001,133636.70087863324,697769.8530476275
0.85,0.7000000000000001,134451.1969311747,711185.0647052468
0.85,0.8,135844.47925128648,724673.582548292
0.85,0.9,136203.2380151666,738280.198337958
0.85,1.0,136203.2380151667,751900.5221394745
0.9,0.0,56416.461542,619395.9943246705
0.9,0.1,106852.78298534999,630033.0914170122
0.9,0.2,108502.95294614999,640777.4456658822
0.9,0.30000000000000004,110107.34312525,651725.5799620233
0.9,0.4,111104.19328870556,662824.3513422492
0.9,0.5,112586.61522065,674014.0610954035
0.9,0.6000000000000001,113694.95124935004,685322.7999736334
0.9,0.7000000000000001,114910.56047165001,696731.0028162245
0.9,0.8,115909.69285134994,708256.3103785932
0.9,0.9,116078.67453444998,719848.8321482486
0.9,1.0,116247.72204564995,731462.4095548125
0.95,0.0,56416.461542,619395.9943246705
0.95,0.1,81480.96441440005,627506.8865369569
0.95,0.2,85199.36479820003,635821.2406682284
0.95,0.30000000000000004,86434.48229140003,644382.3096323037
0.95,0.4,89035.48906920003,653163.8925013377
0.95,0.5,91091.82694413389,662211.6139913897
0.95,0.6000000000000001,91606.26646064562,671333.1073490995
0.95,0.7000000000000001,91962.24447370005,680520.631841027
0.95,0.8,93074.72954490004,689730.2523491923
0.95,0.9,94456.82900700001,699132.578999188
0.95,1.0,94456.82900700001,708578.2618998882
