in_DA,in_bal,out_DA,out_bal,DA_error,bal_error
29621.038425843748,-3729.271560827708,29500.122764578125,-4679.818011704375,0.4082087181660925,-25.48879681654757
32317.19459810833,-6160.340884801457,31612.294807477083,-7063.336892506562,2.1811911565879174,-14.658214936334785
29729.011212977082,-3723.3881328491657,28644.360574480208,-3849.23775888427,3.648458506495537,-3.37997602035658
31627.715111899997,-6236.588315942084,30747.91847051875,-5790.6438996331235,2.781726843904133,7.15045460302436
32229.227089652082,-5966.735818788333,30770.136883236457,-6252.618804994375,4.527226800558612,-4.791279434659073
27994.250180935418,-4031.307793530417,28174.290394563537,-2333.144614429583,-0.6431328307222519,42.12437417520204
32351.579442739585,-6201.689557665208,31635.43539591146,-7081.673405468436,2.2136293162924505,-14.189421118565654
31166.824818316672,-5297.304358660625,30014.221466247924,-5233.503149584792,3.698173807526798,1.204408974000607
29440.168791949996,-2944.2911038889583,28398.514847587503,-3835.1074736721866,3.538206427156488,-30.255716515483
31101.357916502082,-6599.591616568125,30904.238312780213,-5501.672859012291,0.6337974189135935,16.636162074021872
